[Tue May 08 21:21:19 MSK 2018] picard.analysis.CollectWgsMetrics done. Elapsed time: 4,95 minutes.



## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=/home/konstantin/Документы/picard/NA12878.chrom20.ILLUMINA.bwa.CEU.exome.20121211.bam OUTPUT=collect_wgs_metrics_myResult_PARALLEL_5CORE.txt MAX_RECORDS_IN_RAM=100000000 REFERENCE_SEQUENCE=/home/konstantin/Документы/picard/hs37d5.fa    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 08 21:16:22 MSK 2018

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2900340137	0,08243	2,038151	0	0	0,02538	0,074621	0,006163	0,042885	0,079075	0,00555	0,233673	0,017687	0,002433	0,000679	0,000574	0,000507	0,000456	0,000414	0,000345	0,000289	0,000241	0,0002	0,000166	0,000137	0,000113	0,00989	0

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	2849042395
1	13830962
2	14117160
3	10322188
4	5971475
5	2919165
6	1268326
7	535747
8	238973
9	125022
10	83823
11	65744
12	57159
13	51257
14	47141
15	43383
16	41120
17	37960
18	35498
19	34165
20	32333
21	30849
22	29690
23	28266
24	27258
25	26095
26	25087
27	24017
28	23708
29	22923
30	22202
31	22232
32	21605
33	21098
34	20079
35	19797
36	19103
37	18586
38	18272
39	17879
40	17446
41	17414
42	17200
43	16704
44	16534
45	15953
46	15543
47	15588
48	15460
49	15247
50	14730
51	14683
52	14349
53	14258
54	13956
55	13759
56	13425
57	13117
58	13210
59	12854
60	12617
61	12581
62	12106
63	12013
64	11819
65	11552
66	11560
67	11358
68	11007
69	10868
70	10794
71	10509
72	10368
73	10225
74	10125
75	10023
76	9832
77	9632
78	9603
79	9313
80	8983
81	8895
82	8633
83	8435
84	8483
85	8331
86	7901
87	7821
88	7816
89	7717
90	7520
91	7325
92	7300
93	7151
94	7032
95	7064
96	6915
97	6578
98	6309
99	6280
100	6161
101	6176
102	5901
103	5917
104	5744
105	5610
106	5431
107	5371
108	5330
109	5294
110	5160
111	5117
112	4975
113	4843
114	4671
115	4579
116	4465
117	4480
118	4283
119	4114
120	4056
121	3954
122	3974
123	3779
124	3769
125	3857
126	3706
127	3581
128	3670
129	3664
130	3569
131	3475
132	3399
133	3378
134	3077
135	3037
136	3081
137	3031
138	2823
139	2892
140	2885
141	2736
142	2754
143	2661
144	2701
145	2660
146	2555
147	2481
148	2428
149	2368
150	2354
151	2246
152	2181
153	2203
154	2177
155	2174
156	2091
157	2056
158	2096
159	2081
160	1882
161	1907
162	1882
163	1811
164	1721
165	1722
166	1629
167	1587
168	1579
169	1479
170	1453
171	1418
172	1422
173	1425
174	1353
175	1400
176	1323
177	1277
178	1270
179	1249
180	1203
181	1233
182	1149
183	1183
184	1217
185	1149
186	1117
187	1141
188	1156
189	1114
190	1153
191	1062
192	1040
193	988
194	981
195	922
196	903
197	902
198	891
199	867
200	866
201	845
202	841
203	759
204	755
205	767
206	769
207	741
208	750
209	766
210	733
211	689
212	650
213	660
214	653
215	623
216	555
217	608
218	553
219	642
220	618
221	550
222	559
223	531
224	555
225	579
226	580
227	514
228	547
229	547
230	512
231	483
232	513
233	490
234	525
235	485
236	490
237	513
238	478
239	449
240	412
241	477
242	445
243	438
244	438
245	395
246	424
247	404
248	407
249	404
250	26142

